"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"31/12/2009","AADS","0.35","0.30","0.30","0.31","0.00","0.30","0","0.00","0.00","0.00",""
"31/12/2009","ABL","0.12","0.10","0.10","0.10","0.00","0.10","0","","","0.00",""
"31/12/2009","ACI","0.10","0.10","0.10","0.10","0.00","0.10","0","","","0.00",""
"31/12/2009","AGA","30.00","30.00","30.00","30.00","0.00","30.00","0","","","0.00",""
"31/12/2009","ALW","0.61","0.44","0.44","0.44","0.00","0.44","0","","0.44","0.00",""
"31/12/2009","AYRTN","0.16","0.12","0.13","0.13","0.00","0.13","0","","0.13","0.00",""
"31/12/2009","BOPP","1.00","0.48","0.48","0.48","0.00","0.48","0","0.45","0.48","0.00",""
"31/12/2009","CAL","0.60","0.20","0.20","0.20","0.00","0.20","0","","0.20","0.00",""
"31/12/2009","CFAO","0.05","0.03","0.03","0.03","0.00","0.03","0","","","0.00",""
"31/12/2009","CLYD","0.08","0.08","0.08","0.08","0.00","0.08","0","","0.08","0.00",""
"31/12/2009","CMLT","0.16","0.16","0.16","0.16","0.00","0.16","0","","0.16","0.00",""
"31/12/2009","CPC","0.05","0.03","0.03","0.03","0.00","0.03","0","","0.03","0.00",""
"31/12/2009","CPL","","","","","0.00","","","","","",""
"31/12/2009","EBG","3.13","1.97","2.80","2.80","0.00","2.80","0","","2.80","200.00",""
"31/12/2009","EIC","3.14","2.20","2.20","2.20","0.00","2.20","0","","2.20","0.00",""
"31/12/2009","ETI","0.45","0.12","0.14","0.14","0.00","0.15","0.01","0.14","","500.00",""
"31/12/2009","FML","5.55","2.50","5.55","5.55","0.00","5.55","0","0.00","5.55","0.00",""
"31/12/2009","GCB","1.10","0.48","0.71","0.71","0.00","0.74","0.03","0.65","0.74","2,500.00",""
"31/12/2009","GGBL","2.00","1.25","1.35","1.35","0.00","1.35","0","1.35","","0.00",""
"31/12/2009","GOIL","0.32","0.14","0.17","0.17","0.00","0.17","0","0.17","","40,300.00",""
"31/12/2009","GSR","3.10","3.10","3.10","3.10","0.00","3.10","0","","3.10","0.00",""
"31/12/2009","GWEB","0.05","0.05","0.05","0.05","0.00","0.05","0","","0.05","0.00",""
"31/12/2009","HFC","0.62","0.62","0.62","0.62","0.00","0.62","0","","0.60","0.00",""
"31/12/2009","MLC","0.21","0.20","0.20","0.20","0.00","0.20","0","","0.20","0.00",""
"31/12/2009","PBC","0.21","0.19","0.19","0.19","0.00","0.19","0","","0.19","0.00",""
"31/12/2009","PKL","0.07","0.07","0.07","0.07","0.00","0.07","0","","","0.00",""
"31/12/2009","PZC","1.20","1.10","1.10","1.10","0.00","1.10","0","","","0.00",""
"31/12/2009","SCB","38.00","29.00","30.00","30.00","0.00","30.00","0","30.00","","0.00",""
"31/12/2009","SCB PREF","0.52","0.52","0.52","0.52","0.00","0.52","0","0.00","0.52","0.00",""
"31/12/2009","SG-SSB","0.68","0.34","0.45","0.45","0.00","0.45","0","","0.45","0.00",""
